,Hit Type,Pitch Type,Pitch Speed,Good
98,Light Ground Ball,FourSeamFastball,91.0,True
99,Strike,Sinker,95.0,True
100,Strike,Cutter,90.0,True
101,Strike,Sinker,94.0,True
102,Strike,Curveball,79.0,True
103,Strike,Slider,87.0,True
104,Strike,Cutter,87.0,True
105,Strike,Sinker,91.0,True
106,Strike,Changeup,85.0,True
107,Strike,Sinker,93.0,True
108,Strike,Changeup,85.0,True
109,Strike,Slider,70.0,True
110,Strike,Sinker,95.0,True
111,Strike,Sinker,93.0,True
112,Strike,Curveball,77.0,True
113,Strike,Slider,83.0,True
114,Strike,Sinker,97.0,True
115,Strike,Slider,84.0,True
116,Strike,Sinker,96.0,True
117,Strike,Sinker,93.0,True
118,Strike,FourSeamFastball,93.0,True
119,Strike,Changeup,85.0,True
120,Strike,Slider,83.0,True
121,Strike,FourSeamFastball,94.0,True
122,Strike,Sinker,92.0,True
123,Strike,Curveball,78.0,True
124,Strike,FourSeamFastball,96.0,True
125,Strike,Sinker,92.0,True
126,Strike,Sinker,92.0,True
127,Light Line Drive,Sinker,92.0,True
128,Strike,Changeup,87.0,True
129,Strike,Sinker,94.0,True
130,Strike,Changeup,85.0,True
131,Strike,Cutter,88.0,True
132,Strike,Changeup,85.0,True
133,Strike,Curveball,78.0,True
134,Strike,Slider,81.0,True
135,Strike,Sinker,92.0,True
136,Strike,FourSeamFastball,91.0,True
137,Strike,Curveball,78.0,True
138,Strike,Sinker,91.0,True
139,Strike,Changeup,86.0,True
140,Strike,Sinker,96.0,True
141,Strike,Sinker,91.0,True
142,Strike,Slider,84.0,True
143,Strike,FourSeamFastball,94.0,True
144,Strike,Sinker,97.0,True
145,Strike,Cutter,88.0,True
146,Strike,Slider,86.0,True
147,Strike,Changeup,86.0,True
148,Strike,Sinker,90.0,True
149,Strike,FourSeamFastball,91.0,True
150,Strike,Changeup,84.0,True
151,Strike,Curveball,77.0,True
152,Strike,Slider,81.0,True
